BID,Rank Change,Country,Mbps
1,2,Iceland,388.2
2,-1,Singapore,386.42
3,-1,France,378.18
4,1,Hong Kong (SAR),357.7
5,-1,Monaco,348.71
6,-,Switzerland,341.58
7,1,Chile,341.05
8,-1,United Arab Emirates,330.57
9,2,Denmark,318.68
10,3,United States,312.22
11,1,Japan,311.56
12,-3,China,306.66
13,1,Romania,305.53
14,2,Thailand,301.73
15,-,Spain,301.63
16,1,Hungary,299.59
17,2,Israel,297.84
18,-,Canada,296.76
19,-9,Liechtenstein,291.71
20,1,Qatar,282.49
21,-1,Netherlands,279.63
22,2,Portugal,259.63
23,11,Andorra,258.31
24,3,New Zealand,252.31
25,-,Luxembourg,250.11
26,2,Poland,245.85
27,-4,Moldova,241.88
28,1,Sweden,239.18
29,1,Macau (SAR),238.88
30,1,Lithuania,230.29
31,1,Malta,228.23
32,1,Brazil,226.65
33,5,Uruguay,225.5
34,1,Taiwan,223.03
35,-13,South Korea,221.81
36,5,Latvia,220.44
37,-,Norway,220.05
38,-2,Panama,217.9
39,9,Vietnam,217.08
40,-14,San Marino,217.07
41,-1,Finland,216.79
42,2,Peru,212.76
43,-4,Kuwait,211.7
44,-2,Italy,209.83
45,-,Ireland,206.06
46,1,Colombia,205.71
47,-4,Belgium,205.65
48,1,Slovenia,202.56
49,2,Malaysia,202.41
50,-4,United Kingdom,200.8
51,1,Slovakia,200.53
52,-2,Jordan,198.05
53,1,Philippines,171.11
54,-1,Germany,169.81
55,8,Saint Lucia,168.32
56,-,Austria,167.49
57,1,Barbados,166.5
58,-1,Saudi Arabia,162.28
59,-4,Croatia,162.18
60,1,Bulgaria,152.46
61,11,Ecuador,151.63
62,-3,Czechia,150.78
63,-1,Trinidad and Tobago,149.8
64,-4,Serbia,149.27
65,3,Argentina,145.49
66,-1,Russia,145.34
67,-3,Cyprus,142.24
68,5,Ukraine,141.54
69,-2,Montenegro,141.42
70,-4,Guyana,141.1
71,-,Saint Vincent and the Grenadines,136.89
72,-3,Grenada,134.97
73,1,Costa Rica,132.68
74,-4,Dominica,132.25
75,-,Australia,129.66
76,-,Estonia,128.57
77,7,Oman,123.84
78,-1,Paraguay,123.47
79,-1,Brunei,120.8
80,1,C̫te d'Ivoire,116.04
81,-1,Belarus,112.81
82,-3,Bahrain,111.58
83,-,The Bahamas,110.46
84,-2,Albania,109.12
85,-,Mexico,107.36
86,3,Jamaica,104.45
87,-,Armenia,102.86
88,-,Kosovo,101.81
89,-3,Turkey,98.69
90,2,India,94.91
91,-,Nepal,93.75
92,-2,Kazakhstan,93.51
93,1,Uzbekistan,92.58
94,2,Venezuela,90.14
95,2,Greece,88.48
96,-1,Palestine,87.29
97,2,Mauritius,84.27
98,4,Belize,83.67
99,-6,Saint Kitts and Nevis,83.62
100,-,South Africa,82.42
101,-3,Ghana,80.74
102,-1,Mongolia,80.29
103,2,North Macedonia,76.04
104,19,Seychelles,74.28
105,-2,Nicaragua,73.88
106,4,Egypt,73.43
107,-3,Guatemala,72.48
108,-1,El Salvador,71.89
109,-,Kyrgyzstan,71.77
110,-2,Bangladesh,71.7
111,-5,Bosnia and Herzegovina,70.02
112,12,Lebanon,65.37
113,-1,Burkina Faso,61.45
114,-1,Cambodia,60.61
115,-4,Gabon,59.9
116,1,Azerbaijan,58.87
117,-3,Dominican Republic,58.36
118,1,Sri Lanka,56.57
119,26,Algeria,56.21
120,-2,DR Congo,55.76
121,-5,Congo,55.19
122,-1,Honduras,54.84
123,-1,Laos,54.33
124,-9,Haiti,54.07
125,2,Tajikistan,53.05
126,-,Iraq,48.66
127,17,Zimbabwe,46.93
128,5,Antigua and Barbuda,46.47
129,2,Senegal,46.46
130,-,Indonesia,46.04
131,-3,Rwanda,45.7
132,2,Morocco,44.15
133,-1,Bolivia,43.75
134,2,Nigeria,42.94
135,-6,Togo,42.23
136,1,Western Sahara,42.16
137,-12,Madagascar,41.96
138,1,Lesotho,39.82
139,10,Niger,38.02
140,6,Ethiopia,37.66
141,-1,Djibouti,37.41
142,-,Angola,37.02
143,5,Somalia,36.7
144,-3,Swaziland,36.21
145,-7,Zambia,35.97
146,9,Maldives,34.98
147,-12,Malawi,34.92
148,8,Fiji,34.62
149,5,Mauritania,34.58
150,3,Georgia,34.53
151,1,Iran,34.29
152,-2,Benin,34.19
153,-6,Bhutan,34.17
154,-11,Tanzania,33.67
155,4,Sierra Leone,32.16
156,5,Mozambique,30.97
157,1,Sudan,30.7
158,-1,Myanmar (Burma),30.69
159,3,Mali,30.56
160,14,Guinea,30.32
161,-10,Papua New Guinea,29.74
162,1,Uganda,29.19
163,5,Cameroon,28.82
164,-,Suriname,27.31
165,-,Cape Verde,26.61
166,1,Namibia,26.05
167,-7,Libya,23.71
168,3,Pakistan,23.31
169,1,Turkmenistan,23.15
170,-1,Kenya,22.78
171,-5,Vanuatu,22.45
172,-,Botswana,22.22
173,-,East Timor,21.17
174,2,Syria,18.69
175,-,Liberia,17.64
176,1,Yemen,16.26
177,1,Tunisia,15.69
178,1,The Gambia,15.52
179,1,Burundi,11.07
180,2,Afghanistan,10.21
181,-,Cuba,8.36
